frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,7474,9736,10222,10222,0,34,816000,4041000,,,5472,0,0
120,60,7654,8927,9175,9175,0,34,816000,4043000,,,6584,0,0
180,60,7671,8902,10035,10035,0,34,816000,4053000,,,5652,0,0
240,60,8099,10723,11052,11052,0,33,816000,4044000,,,6768,0,0
300,60,7741,10491,11126,11126,0,33,816000,4052000,,,7884,0,0
360,60,8029,10031,11149,11149,0,34,600000,4050000,,,6948,0,0
420,60,7973,10000,10728,10728,0,34,600000,4041000,,,8064,0,0
480,60,10697,13560,19821,19821,2,34,600000,4051000,,,7132,0,0
540,60,10846,12857,14526,14526,0,34,600000,4050000,,,8248,0,0
600,60,10868,13561,14269,14269,0,34,600000,4051000,,,9360,0,0
660,60,10812,13888,14517,14517,0,34,600000,4051000,,,8428,0,0
720,60,10841,13573,14498,14498,0,34,600000,4038000,,,9544,0,0
780,60,10792,13074,13203,13203,0,34,600000,4053000,,,10660,0,0
840,60,10870,12884,14009,14009,0,34,816000,4048000,,,9724,0,0
900,60,10865,13047,14558,14558,0,34,408000,4041000,,,10840,0,0
960,60,10813,13249,20697,20697,2,34,600000,4050000,,,9908,0,0
1020,60,10836,13573,20390,20390,2,34,408000,4048000,,,8976,0,0
1080,60,10863,13447,20185,20185,2,34,600000,4041000,,,10088,0,0
1140,60,10820,13748,14462,14462,0,34,816000,4049000,,,9156,0,0
1200,60,10864,12647,13408,13408,0,34,600000,4052000,,,10272,0,0
1260,60,10851,13271,13801,13801,0,34,600000,4048000,,,11388,0,0
1320,60,10846,13547,14082,14082,0,34,600000,4051000,,,10452,0,0
1380,60,10842,13851,14486,14486,0,35,816000,4049000,,,11568,0,0
1440,60,10855,13556,14333,14333,0,35,600000,4050000,,,12684,0,0
1500,60,10849,13104,14646,14646,0,34,600000,4050000,,,11752,0,1
1560,60,10645,12776,14556,14556,0,34,600000,4050000,,,12861,0,11
1620,60,10728,12453,13999,13999,0,34,600000,4047000,,,11911,0,17
1680,60,10769,13653,14600,14600,0,34,600000,4049000,,,12994,0,10
1740,60,10802,13726,14475,14475,0,34,600000,4037000,,,12016,0,9
1800,60,10822,13736,14527,14527,0,34,600000,4048000,,,13068,0,7
1860,60,10491,12517,14027,14027,0,34,816000,4047000,,,12060,0,18
1920,60,10772,12721,13576,13576,0,34,600000,4056000,,,13086,0,13
1980,60,10603,12494,13081,13081,0,34,600000,4049000,,,12049,0,12
2040,60,10847,13923,14588,14588,0,34,600000,4050000,,,13051,0,0
2100,60,10770,12364,13525,13525,0,34,600000,4049000,,,12014,0,6
2160,60,10694,13183,14874,14874,0,35,600000,4043000,,,13011,0,12
2220,60,11070,14796,16057,16057,0,34,600000,4050000,,,9898,0,12
2280,60,12727,14698,15166,15166,0,34,1200000,4049000,,,4792,0,0
2340,60,8955,10390,11216,11216,0,34,1008000,4047000,,,5908,0,0
2400,60,8714,9900,10262,10262,0,35,1008000,4047000,,,7024,0,0
2460,60,7721,10331,13112,13112,0,35,408000,4046000,,,6092,0,0
2520,60,8895,11245,20804,20804,1,35,1008000,4049000,,,7204,0,0
2580,60,7772,10364,11215,11215,0,34,1008000,4049000,,,6272,0,0
2640,60,8940,10103,11050,11050,0,34,816000,4049000,,,7388,0,0
2700,60,8940,11260,20880,20880,2,34,816000,4050000,,,6456,0,0
2760,60,8865,11222,20577,20577,2,35,408000,4049000,,,5520,0,0
2820,60,8890,10799,19919,19919,2,34,600000,4049000,,,6636,0,0
2880,60,10722,13261,13870,13870,0,34,600000,4048000,,,5704,0,0
2940,60,10709,12895,14148,14148,0,34,408000,4049000,,,6820,0,0
3000,60,10744,13729,19936,19936,2,34,600000,4049000,,,5884,0,0
3060,60,10702,12974,19947,19947,2,34,600000,4048000,,,4952,0,0
3120,60,10726,13275,13833,13833,0,34,600000,4049000,,,6068,0,0
3180,60,10728,13747,14359,14359,0,35,600000,4047000,,,7184,0,0
3240,60,10709,12549,13647,13647,0,34,600000,4050000,,,6248,0,0
3300,60,10687,12721,13842,13842,0,34,600000,4047000,,,7364,0,0
3360,60,10729,13979,19899,19899,2,34,600000,4038000,,,6432,0,0
3420,60,10726,13387,14334,14334,0,34,408000,4038000,,,7548,0,0
3480,60,10795,12549,20323,20323,2,34,600000,4039000,,,6612,0,0
3540,60,10845,13348,14359,14359,0,34,600000,4049000,,,7728,0,0
3600,60,10829,13735,14396,14396,0,34,600000,4047000,,,8844,0,0
3660,60,10824,13285,14411,14411,0,34,408000,4049000,,,7911,0,0
3720,60,10834,13409,20343,20343,2,34,600000,4037000,,,6976,0,0
3780,60,10846,13827,14669,14669,0,34,600000,4040000,,,8092,0,0
