frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,2734,3978,8201,8201,0,33,408000,4080000,,,4220,0,0
120,60,2382,2504,2855,2855,0,33,408000,4090000,,,5335,0,0
180,60,2460,3934,3968,3968,0,33,408000,4082000,,,4402,0,0
240,60,4049,4279,4492,4492,0,33,408000,4080000,,,5517,0,0
300,60,2682,3661,3679,3679,0,33,408000,4088000,,,6632,0,0
360,60,3235,4202,4432,4432,0,33,408000,4088000,,,5699,0,0
420,60,3232,3357,4137,4137,0,33,408000,4087000,,,6814,0,0
480,60,3517,3680,3734,3734,0,33,408000,4089000,,,7929,0,0
540,60,3624,3741,3809,3809,0,33,408000,4087000,,,6996,0,0
600,60,3604,3688,3949,3949,0,33,408000,4087000,,,8111,0,0
660,60,3621,3719,3842,3842,0,33,408000,4087000,,,9226,0,0
720,60,3626,3714,3786,3786,0,33,408000,4088000,,,8293,0,0
780,60,3626,3736,3796,3796,0,33,408000,4088000,,,9408,0,0
840,60,3615,3729,3992,3992,0,34,408000,4088000,,,10523,0,0
900,60,3625,3762,3927,3927,0,33,408000,4085000,,,9590,0,0
960,60,3593,3681,3721,3721,0,33,408000,4087000,,,10705,0,0
1020,60,3617,3710,3805,3805,0,33,408000,4078000,,,11820,0,0
1080,60,3607,3681,3710,3710,0,33,408000,4086000,,,10887,0,0
1140,60,3602,3721,3966,3966,0,33,408000,4088000,,,12002,0,3
1200,60,3635,4372,4802,4802,0,33,408000,4083000,,,13106,0,15
1260,60,3634,4946,5305,5305,0,32,408000,4087000,,,12148,0,32
1320,60,3640,4428,5581,5581,0,33,600000,4088000,,,11176,0,22
1380,60,3637,4911,5186,5186,0,33,408000,4076000,,,12237,0,30
1440,60,3626,5116,5568,5568,0,33,408000,4092000,,,11236,0,32
1500,60,3657,4576,4822,4822,0,33,408000,4076000,,,12268,0,23
1560,60,3617,5191,5456,5456,0,33,408000,4080000,,,11238,0,39
1620,60,3654,4404,5335,5335,0,33,408000,4086000,,,12242,0,17
1680,60,3662,4864,5188,5188,0,33,408000,4088000,,,11183,0,30
1740,60,3605,5248,5552,5552,0,33,408000,4086000,,,12158,0,31
1800,60,3657,4313,4727,4727,0,33,408000,4085000,,,13118,0,17
1860,60,3619,4806,5049,5049,0,33,408000,4084000,,,12016,0,30
1920,60,3637,5199,5323,5323,0,33,408000,4087000,,,12948,0,35
1980,60,3634,4431,5484,5484,0,33,408000,4087000,,,11817,0,18
2040,60,3644,4469,4863,4863,0,33,408000,4084000,,,12720,0,21
2100,60,3624,4889,4984,4984,0,33,408000,4076000,,,11561,0,30
2160,60,3605,5188,5396,5396,0,33,408000,4084000,,,12435,0,35
2220,60,3642,5001,5665,5665,0,33,408000,4078000,,,11247,0,22
2280,60,3627,4344,4470,4470,0,33,408000,4083000,,,12093,0,14
2340,60,3648,4506,4684,4684,0,33,408000,4084000,,,12924,0,17
2400,60,3659,4689,4785,4785,0,33,408000,4082000,,,11693,0,26
2460,60,3659,4947,5421,5421,0,33,408000,4086000,,,12496,0,29
2520,60,3650,5007,5143,5143,0,33,600000,4081000,,,11236,0,34
2580,60,3632,5061,5338,5338,0,33,408000,4084000,,,12010,0,36
2640,60,3639,5159,5520,5520,0,33,408000,4080000,,,12770,0,37
2700,60,3629,5263,5578,5578,0,33,408000,4084000,,,11468,0,38
2760,60,3619,3936,4195,4195,0,33,408000,4084000,,,12199,0,10
2820,60,3615,3974,4139,4139,0,33,408000,4086000,,,10868,0,7
2880,60,3599,3926,4163,4163,0,33,408000,4083000,,,11571,0,7
2940,60,3613,4003,4263,4263,0,33,408000,4086000,,,12260,0,9
3000,60,3625,3901,4191,4191,0,33,408000,4082000,,,10887,0,8
3060,60,3589,3886,4043,4043,0,33,408000,4074000,,,11547,0,4
3120,60,3584,3669,3697,3697,0,33,408000,4084000,,,10153,0,0
3180,60,3608,3694,3800,3800,0,33,408000,4083000,,,10820,0,0
3240,60,3599,3733,3965,3965,0,33,408000,4085000,,,11502,0,0
3300,60,3601,3730,3844,3844,0,33,408000,4081000,,,10150,0,0
3360,60,3593,3688,3817,3817,0,33,408000,4085000,,,10860,0,0
3420,60,3607,3706,3728,3728,0,34,408000,4082000,,,11585,0,0
