frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,7659,8915,10106,10106,0,33,816000,4051000,,,7520,0,0
120,60,7676,8554,9510,9510,0,33,1008000,4060000,,,6584,0,0
180,60,7675,9149,9953,9953,0,34,816000,4053000,,,7700,0,0
240,60,8202,11228,12256,12256,0,34,816000,4051000,,,8816,0,0
300,60,7764,10376,11626,11626,0,33,816000,4062000,,,7884,0,0
360,60,8233,10601,11314,11314,0,34,600000,4058000,,,8996,0,0
420,60,7963,9936,10551,10551,0,33,600000,4061000,,,8064,0,0
480,60,10694,13086,14122,14122,0,34,600000,4058000,,,9180,0,0
540,60,10869,12201,13739,13739,0,34,816000,4062000,,,10296,0,0
600,60,10864,12881,14093,14093,0,34,600000,4058000,,,9360,0,0
660,60,10858,14041,19920,19920,2,34,600000,4057000,,,10476,0,0
720,60,10867,13328,14374,14374,0,34,600000,4058000,,,9544,0,0
780,60,10847,13674,20500,20500,2,34,600000,4057000,,,10660,0,0
840,60,10867,12805,13619,13619,0,34,600000,4060000,,,9724,0,0
900,60,10904,13484,14253,14253,0,34,600000,4057000,,,10840,0,0
960,60,10837,12708,13961,13961,0,34,408000,4060000,,,11956,0,0
1020,60,10891,13525,20161,20161,2,34,600000,4057000,,,11024,0,0
1080,60,10860,12698,13451,13451,0,34,600000,4058000,,,10088,0,0
1140,60,10844,12519,13765,13765,0,34,600000,4058000,,,11204,0,0
1200,60,10902,12970,13878,13878,0,34,600000,4059000,,,12320,0,0
1260,60,10870,12349,13697,13697,0,34,600000,4059000,,,11388,0,1
1320,60,10625,12556,13564,13564,0,34,600000,4058000,,,12490,0,11
1380,60,10862,12853,14111,14111,0,34,600000,4058000,,,11533,0,2
1440,60,10717,12735,14681,14681,0,34,600000,4056000,,,12609,0,8
1500,60,10635,12601,14281,14281,0,34,600000,4058000,,,11623,0,19
1560,60,10796,12347,12966,12966,0,34,600000,4058000,,,12668,0,8
1620,60,10640,12110,13103,13103,0,34,600000,4058000,,,11653,0,14
1680,60,10816,12154,14788,14788,0,34,600000,4047000,,,12672,0,11
1740,60,10835,14043,20585,20585,2,34,600000,4057000,,,11628,0,4
1800,60,10894,12577,13802,13802,0,34,600000,4060000,,,12636,0,1
1860,60,10856,13024,14326,14326,0,35,408000,4056000,,,11607,0,4
1920,60,10866,20229,20308,20308,4,34,600000,4059000,,,10571,0,0
1980,60,10865,13250,14061,14061,0,34,600000,4054000,,,11597,0,0
2040,60,10862,13872,14429,14429,0,34,600000,4058000,,,12634,0,0
2100,60,10851,13208,14244,14244,0,34,600000,4057000,,,11641,0,0
2160,60,10848,12317,13302,13302,0,34,600000,4048000,,,12703,0,5
2220,60,10399,12466,14408,14408,0,34,816000,4053000,,,11702,0,18
2280,60,10614,11898,12509,12509,0,34,600000,4058000,,,12732,0,26
2340,60,10757,13231,13912,13912,0,34,600000,4060000,,,11703,0,12
2400,60,10840,13022,20235,20235,2,34,600000,4049000,,,12707,0,9
2460,60,10833,13157,14153,14153,0,34,600000,4059000,,,11663,0,5
2520,60,10600,12672,13406,13406,0,34,600000,4057000,,,12650,0,14
