frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
4500,60,5403,7216,7435,7435,0,33,600000,4064000,,,11953,0,7
4560,60,5401,6703,7282,7282,0,33,408000,4064000,,,12613,0,6
4620,60,5465,7396,8939,8939,0,33,600000,4065000,,,11211,0,6
4680,60,5390,7367,7422,7422,0,33,600000,4061000,,,11851,0,3
4740,60,5408,6976,7073,7073,0,33,408000,4064000,,,12490,0,0
4800,60,6472,6969,7022,7022,0,34,408000,4064000,,,11095,0,0
4860,60,6908,7078,7138,7138,0,33,408000,4064000,,,11763,0,0
4920,60,5139,7085,7194,7194,0,33,600000,4063000,,,12445,0,0
4980,60,6508,7081,7112,7112,0,33,408000,4061000,,,11093,0,0
5040,60,5477,7023,9110,9110,0,33,408000,4064000,,,11803,0,0
5100,60,5352,7189,7498,7498,0,34,600000,4062000,,,10479,0,0
5160,60,5248,7139,7194,7194,0,33,600000,4065000,,,11218,0,0
5220,60,5259,7144,7273,7273,0,33,600000,4064000,,,11970,0,0
5280,60,5261,7162,7515,7515,0,33,408000,4057000,,,10690,0,0
5340,60,5373,7405,7518,7518,0,33,600000,4064000,,,11471,0,1
5400,60,5378,6995,7318,7318,0,34,600000,4050000,,,12266,0,3
5413,13,5447,27326,27326,27326,1,32,600000,4059000,,,0,37,2
# total_frames=5413 over_budget=1 budget_us=16742
