frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
4500,60,8981,12623,14316,14316,0,35,1416000,4037000,,,5185,0,0
4560,60,8998,12325,13709,13709,0,35,1416000,4036000,,,4253,0,0
4620,60,8968,12678,14239,14239,0,35,1416000,4025000,,,5369,0,0
4680,60,8977,12429,13759,13759,0,35,1416000,4034000,,,6482,0,0
4740,60,8917,13323,14191,14191,0,36,1416000,4026000,,,5549,0,0
4800,60,8825,12419,13351,13351,0,36,1416000,4036000,,,6665,0,0
4860,60,8896,12493,14203,14203,0,36,1416000,4028000,,,5733,0,0
4920,60,8943,12602,13449,13449,0,36,1416000,4025000,,,6846,0,0
4980,60,8934,13170,28504,28504,2,36,1416000,4026000,,,5913,0,0
5040,60,9113,12889,13321,13321,0,36,1416000,4025000,,,7029,0,0
5100,60,9090,12670,28686,28686,2,36,1416000,4036000,,,6097,0,0
5160,60,8954,12622,13521,13521,0,36,1416000,4024000,,,7210,0,0
5220,60,8919,12406,13167,13167,0,36,1416000,4035000,,,6277,0,0
5280,60,8909,12461,14874,14874,0,36,1416000,4036000,,,7393,0,0
5340,60,8770,12160,13619,13619,0,35,1416000,4025000,,,8509,0,0
5394,54,8780,13049,27785,27785,1,34,600000,4037000,,,0,38,0
# total_frames=5394 over_budget=27 budget_us=16742
