frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
4500,60,5478,7346,7731,7731,0,33,600000,4058000,,,11394,0,0
4560,60,5450,7470,7664,7664,0,33,600000,4060000,,,10070,0,0
4620,60,5450,7503,7567,7567,0,33,600000,4058000,,,10808,0,0
4680,60,5454,7158,7654,7654,0,33,600000,4059000,,,9513,0,0
4740,60,5511,7552,8477,8477,0,33,408000,4059000,,,10281,0,0
4800,60,6966,7091,7243,7243,0,33,408000,4059000,,,11062,0,0
4860,60,5754,7136,7211,7211,0,33,408000,4048000,,,9809,0,0
4920,60,5197,7092,7169,7169,0,33,408000,4057000,,,10619,0,0
4980,60,5244,7207,7312,7312,0,33,408000,4058000,,,11443,0,0
5040,60,5530,7453,9320,9320,0,33,600000,4057000,,,10234,0,0
5100,60,5401,7330,7415,7415,0,33,408000,4058000,,,11087,0,0
5160,60,5339,7131,7322,7322,0,33,600000,4059000,,,11954,0,0
5220,60,5363,7160,7301,7301,0,34,600000,4048000,,,10787,0,0
5280,60,5373,7255,7316,7316,0,33,600000,4053000,,,11683,0,1
5340,60,5416,7458,7582,7582,0,33,408000,4047000,,,12586,0,4
5400,60,5477,6910,7571,7571,0,33,600000,4049000,,,11427,0,12
5404,4,5531,21205,21205,21205,1,32,600000,4058000,,,0,36,1
# total_frames=5404 over_budget=1 budget_us=16742
