frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,2333,3878,8208,8208,0,33,408000,4082000,,,6268,0,0
120,60,2305,2381,2442,2442,0,33,408000,4081000,,,5335,0,0
180,60,2312,3812,3842,3842,0,33,408000,4083000,,,6450,0,0
240,60,4022,4187,4508,4508,0,33,408000,4079000,,,7565,0,0
300,60,2635,3517,3542,3542,0,33,408000,4079000,,,6632,0,0
360,60,3104,4093,4289,4289,0,33,408000,4081000,,,7747,0,0
420,60,3095,3245,3998,3998,0,33,408000,4078000,,,8862,0,0
480,60,3379,3543,3652,3652,0,33,408000,4081000,,,7929,0,0
540,60,3496,3580,3610,3610,0,33,408000,4077000,,,9044,0,0
600,60,3484,3606,3633,3633,0,33,408000,4079000,,,10159,0,0
660,60,3488,3584,3848,3848,0,33,408000,4070000,,,9226,0,0
720,60,3498,3689,3759,3759,0,33,408000,4066000,,,10341,0,0
780,60,3478,3577,3586,3586,0,33,408000,4080000,,,11456,0,0
840,60,3486,3644,3785,3785,0,33,408000,4070000,,,10523,0,0
900,60,3515,3608,3667,3667,0,33,408000,4080000,,,11638,0,0
960,60,3472,3583,4264,4264,0,33,408000,4078000,,,12753,0,2
1020,60,3496,4080,4357,4357,0,33,408000,4078000,,,11809,0,11
1080,60,3506,4635,5390,5390,0,33,408000,4067000,,,12899,0,31
1140,60,3492,5134,5461,5461,0,33,408000,4075000,,,11927,0,33
1200,60,3498,4192,4685,4685,0,33,408000,4080000,,,10940,0,8
1260,60,3511,3894,4248,4248,0,33,408000,4077000,,,12002,0,9
1320,60,3513,4524,4994,4994,0,33,408000,4079000,,,13048,0,21
1380,60,3492,5048,5443,5443,0,33,408000,4078000,,,12033,0,38
1440,60,3513,4211,5516,5516,0,33,408000,4073000,,,13051,0,17
1500,60,3525,4792,5089,5089,0,33,408000,4079000,,,12006,0,30
1560,60,3500,4788,6245,6245,0,33,408000,4066000,,,10947,0,25
1620,60,3532,4475,4728,4728,0,33,408000,4079000,,,11922,0,22
1680,60,3521,4684,4861,4861,0,33,408000,4076000,,,12883,0,30
1740,60,3512,5105,5427,5427,0,33,408000,4081000,,,11781,0,34
1800,60,3506,4281,4511,4511,0,33,408000,4077000,,,12712,0,14
1860,60,3539,4593,5077,5077,0,33,408000,4071000,,,11581,0,27
1920,60,3507,4892,5078,5078,0,33,408000,4073000,,,12484,0,33
1980,60,3515,5173,5411,5411,0,33,408000,4081000,,,11325,0,35
2040,60,3521,4192,4409,4409,0,33,408000,4075000,,,12199,0,14
2100,60,3528,4194,4541,4541,0,33,408000,4080000,,,13059,0,19
2160,60,3524,4643,4888,4888,0,33,408000,4076000,,,11857,0,29
2220,60,3525,4960,5056,5056,0,33,408000,4078000,,,12688,0,32
2280,60,3457,5002,5257,5257,0,33,408000,4073000,,,11457,0,38
2340,60,3516,4412,7619,7619,0,33,408000,4073000,,,12260,0,17
2400,60,3525,4114,4195,4195,0,33,408000,4077000,,,11000,0,10
