frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
4500,60,9482,13113,14327,14327,0,35,1416000,4044000,,,3249,0,0
4560,60,9491,12384,13615,13615,0,36,1416000,4034000,,,4365,0,0
4620,60,9485,13702,15150,15150,0,36,1416000,4035000,,,5481,0,0
4680,60,9485,13557,14824,14824,0,36,1416000,4043000,,,4545,0,0
4740,60,9450,13199,13943,13943,0,36,1416000,4045000,,,5661,0,0
4800,60,9354,12990,14028,14028,0,36,1416000,4047000,,,6777,0,0
4860,60,9402,13053,14056,14056,0,35,1416000,4033000,,,5845,0,0
4920,60,9474,13541,14818,14818,0,35,1416000,4043000,,,6957,0,0
4980,60,9465,13445,14547,14547,0,36,1416000,4042000,,,6025,0,0
5040,60,9686,12554,15526,15526,0,35,1416000,4032000,,,7141,0,0
5100,60,9641,12792,14395,14395,0,36,1416000,4043000,,,8257,0,0
5160,60,9521,12808,13911,13911,0,36,1416000,4034000,,,7321,0,0
5220,60,9502,12810,14053,14053,0,35,1416000,4044000,,,8437,0,0
5280,60,9486,12911,13695,13695,0,36,1416000,4040000,,,9553,0,0
5340,60,9251,12437,13190,13190,0,35,1416000,4041000,,,8621,0,0
5363,23,9347,13273,28334,28334,1,34,600000,4045000,,,0,39,0
# total_frames=5363 over_budget=28 budget_us=16742
