frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
5100,60,13110,15672,16121,16121,0,42,1008000,3934000,,,734,29,0
5160,60,16356,17320,17416,17416,16,41,816000,3935000,,,0,36,0
5220,60,14615,16711,17245,17245,4,41,1200000,3919000,,,1470,29,0
5280,60,15410,17424,18025,18025,15,41,1008000,3925000,,,1470,35,0
5340,60,12486,16820,17143,17143,5,42,1008000,3923000,,,734,28,0
5400,60,13625,15425,15924,15924,0,42,1200000,3923000,,,1470,29,0
5460,60,13270,15472,15947,15947,0,42,1800000,3910000,,,734,29,0
5520,60,13695,16748,17418,17418,4,42,1008000,3922000,,,734,28,0
5580,60,14525,18434,18756,18756,8,42,816000,3926000,,,734,33,0
5640,60,17039,17981,18786,18786,43,42,816000,3908000,,,734,36,0
5700,60,13909,16636,17389,17389,3,41,1416000,3925000,,,734,31,0
5760,60,14187,17107,18823,18823,4,42,1008000,3923000,,,734,31,0
5820,60,15699,17707,18116,18116,21,42,1416000,3924000,,,734,33,0
5880,60,12856,14265,14947,14947,0,42,1008000,3912000,,,734,28,0
5940,60,16579,19052,19685,19685,29,42,816000,3918000,,,0,36,0
6000,60,17902,20090,20382,20382,47,41,816000,3916000,,,0,37,0
6060,60,18651,19760,19832,19832,59,42,816000,3938000,,,1470,38,0
6120,60,16163,18061,18504,18504,16,41,1008000,3930000,,,1470,34,0
6180,60,16286,19564,20314,20314,29,41,1416000,3926000,,,1470,32,0
6240,60,13791,15653,16107,16107,0,42,1608000,3923000,,,734,31,0
6300,60,14419,16797,20431,20431,5,43,1008000,3914000,,,0,32,0
6360,60,14178,16655,16937,16937,3,42,1008000,3929000,,,734,30,0
6420,60,14417,16729,17141,17141,4,42,1008000,3936000,,,2030,27,0
6480,60,10603,18447,18965,18965,5,42,600000,3918000,,,734,13,1
6540,60,24007,25110,25319,25319,60,40,408000,3922000,,,734,51,0
6600,60,24269,24878,25042,25042,60,39,408000,3938000,,,734,57,0
6660,60,24078,25236,28980,28980,47,39,408000,3931000,,,734,49,0
6720,60,24402,25232,25728,25728,60,39,408000,3942000,,,734,55,0
6780,60,24092,25208,25630,25630,60,39,408000,3940000,,,734,52,0
6840,60,24626,25434,26016,26016,60,39,408000,3943000,,,0,57,0
6900,60,19328,25379,26237,26237,50,40,408000,3937000,,,0,48,0
6960,60,24186,25119,25365,25365,60,39,408000,3938000,,,734,56,0
7020,60,18634,24547,24831,24831,54,40,408000,3923000,,,734,47,0
7080,60,23706,25025,25628,25628,60,40,408000,3940000,,,734,50,0
7140,60,24285,24918,25541,25541,60,39,408000,3943000,,,0,57,0
7200,60,19166,24959,25695,25695,48,39,408000,3936000,,,734,45,0
7260,60,24376,24811,25310,25310,60,39,408000,3942000,,,734,57,0
7320,60,24332,25497,26370,26370,60,40,408000,3936000,,,0,55,0
7380,60,18942,24701,24958,24958,60,40,408000,3928000,,,734,48,0
7440,60,21762,24552,25041,25041,56,39,1800000,3938000,,,734,50,0
7500,60,22922,23889,24289,24289,52,39,408000,3918000,,,734,49,0
7560,60,23052,23871,24452,24452,60,39,408000,3922000,,,734,53,0
7620,60,17821,23680,24208,24208,60,39,600000,3921000,,,734,45,0
7680,60,7094,18224,20310,20310,24,40,1608000,3939000,,,2741,17,8
7740,60,7173,8254,21734,21734,2,41,1416000,3922000,,,1697,0,9
7800,60,4521,7194,7476,7476,0,42,1800000,3919000,,,2534,0,14
7860,60,4399,5158,5917,5917,0,42,1416000,3920000,,,1490,0,13
7920,60,7228,7753,8060,8060,0,42,1200000,3929000,,,2327,0,0
7980,60,12832,16907,17404,17404,9,41,408000,3940000,,,734,22,5
8040,60,12935,16857,17201,17201,8,40,1008000,3938000,,,1470,36,0
8100,60,9966,11299,11576,11576,0,41,600000,3930000,,,734,26,0
8160,60,12058,13780,14612,14612,0,41,816000,3917000,,,734,32,0
8220,60,4070,17044,18405,18405,7,40,408000,3938000,,,2741,16,48
8280,60,8468,38881,40712,40712,15,39,408000,3950000,,,3578,0,58
8340,60,8976,38372,41248,41248,13,38,1416000,3949000,,,2534,0,65
8400,60,8984,39690,41392,41392,13,38,408000,3947000,,,3371,0,62
8460,60,9310,38624,40463,40463,14,38,408000,3943000,,,2327,0,64
8520,60,9653,40749,41635,41635,17,38,408000,3945000,,,3164,0,58
8580,60,9624,40482,41572,41572,19,37,408000,3948000,,,2120,0,61
8640,60,9386,40601,41310,41310,15,37,408000,3943000,,,2957,0,58
8700,60,9515,39690,41989,41989,15,37,408000,3947000,,,1913,0,60
8760,60,9524,39502,40677,40677,16,37,408000,3934000,,,2750,0,58
8820,60,9762,39351,40256,40256,17,37,408000,3946000,,,3587,0,59
8880,60,9753,39626,40044,40044,17,37,408000,3941000,,,2543,0,62
8940,60,9556,39502,39762,39762,17,37,408000,3945000,,,3380,0,58
9000,60,9287,39423,40067,40067,16,37,408000,3945000,,,2336,0,62
9060,60,9679,40363,40711,40711,15,38,408000,3945000,,,3173,0,58
9120,60,9419,39990,40604,40604,15,37,408000,3943000,,,2129,0,61
9180,60,9102,40748,40939,40939,13,37,408000,3941000,,,2966,0,58
9240,60,9219,40551,41007,41007,12,37,408000,3949000,,,1922,0,64
9300,60,9006,39217,40696,40696,15,37,408000,3946000,,,2759,0,61
9360,60,9257,41117,41286,41286,16,37,408000,3949000,,,3596,0,59
9420,60,9257,40825,41258,41258,20,37,408000,3942000,,,2552,0,63
9480,60,9013,39987,40344,40344,14,37,408000,3948000,,,3389,0,59
9540,60,10404,40990,41565,41565,20,37,408000,3931000,,,2345,0,60
9600,60,9060,40700,41194,41194,11,37,408000,3943000,,,3182,0,61
9660,60,9499,40079,40483,40483,16,37,408000,3934000,,,2138,0,61
9720,60,9620,41023,41786,41786,15,37,408000,3943000,,,2975,0,58
9780,60,9113,37515,40139,40139,11,37,408000,3942000,,,1931,0,62
9840,60,10020,39974,40720,40720,18,37,408000,3944000,,,2768,0,60
9900,60,9574,40596,42466,42466,17,37,408000,3947000,,,3605,0,60
9960,60,9638,39423,41645,41645,16,37,408000,3947000,,,2561,0,62
10020,60,9215,40902,41334,41334,14,37,408000,3950000,,,3398,0,59
10080,60,9392,40936,42037,42037,15,37,408000,3949000,,,2354,0,61
10140,60,9895,40357,41755,41755,16,37,408000,3943000,,,3191,0,58
10200,60,9761,40812,42115,42115,14,37,408000,3947000,,,2147,0,64
10260,60,9741,39903,41825,41825,16,37,408000,3946000,,,2984,0,58
10320,60,9565,40167,41619,41619,15,37,408000,3950000,,,1940,0,62
10380,60,9727,40559,41744,41744,18,37,408000,3947000,,,2777,0,60
10440,60,9459,39274,40487,40487,16,37,408000,3932000,,,3614,0,60
10500,60,9524,40409,40482,40482,15,37,408000,3941000,,,2570,0,63
10560,60,9578,40510,41684,41684,14,37,408000,3947000,,,3407,0,58
10620,60,9608,39698,41665,41665,14,37,408000,3933000,,,2363,0,61
10680,60,9790,39822,40671,40671,14,37,408000,3947000,,,3200,0,59
10740,60,9485,40240,41510,41510,15,37,408000,3931000,,,2156,0,61
10800,60,9531,41454,41534,41534,22,37,408000,3945000,,,2993,0,63
10860,60,9643,40502,41483,41483,20,37,408000,3944000,,,1949,0,62
10920,60,9643,40298,41968,41968,16,37,408000,3946000,,,2786,0,59
10980,60,11231,40519,40604,40604,24,37,408000,3947000,,,3623,0,60
11040,60,9214,40408,40674,40674,15,37,408000,3948000,,,2579,0,63
11100,60,8681,40184,40356,40356,13,37,408000,3949000,,,3416,0,62
11160,60,9002,40900,41223,41223,17,37,408000,3948000,,,2372,0,61
11220,60,8760,40178,41306,41306,18,37,408000,3951000,,,3209,0,59
