245,1800000,34867,82
265,600000,33125,82
285,600000,32120,82
306,600000,32120,82
326,600000,32053,82
346,600000,32187,82
366,600000,32388,82
386,600000,31986,82
406,600000,31852,82
426,600000,31852,82
446,600000,32187,82
466,600000,31986,81
486,600000,32120,81
506,600000,31718,81
526,600000,31919,81
546,600000,31919,81
566,600000,32388,81
586,600000,31651,81
606,600000,31919,81
626,600000,32053,81
646,600000,31852,81
667,600000,32053,81
687,600000,32120,81
707,600000,31852,81
727,600000,32187,81
747,600000,32187,81
767,600000,31986,80
787,600000,32053,80
807,600000,32120,80
