983,600000,600000,33259
989,600000,600000,32656
994,600000,600000,32254
999,600000,600000,32455
1004,600000,600000,32656
1009,600000,600000,32388
1014,600000,600000,32522
1019,600000,600000,32790
1024,600000,600000,32656
1029,600000,600000,32656
1034,600000,600000,32790
1039,600000,600000,32589
1044,600000,600000,32388
1049,600000,600000,32723
1054,600000,600000,32522
1059,600000,600000,32388
1064,600000,600000,32790
1069,600000,600000,32321
1074,600000,600000,32656
1080,600000,600000,32857
1085,600000,600000,32321
1090,600000,600000,32120
1095,600000,600000,32455
1100,600000,600000,32790
1105,600000,600000,32455
1110,600000,600000,32857
1115,600000,600000,32522
1120,600000,600000,32991
---GOV---
[INFO] gov: ceil 1008000->792000 kHz (temp=31C, signal=0 gen=60.5/59.7)
[INFO] gov: ceil 792000->576000 kHz (temp=32C, signal=0 gen=60.3/59.7)
[INFO] gov: ceil 576000->408000 kHz (temp=32C, signal=0 gen=60.2/59.7)
[INFO] gov: ceil 408000->576000 kHz (temp=32C, signal=1 gen=55.3/59.7)
[INFO] gov: ceil 576000->1008000 kHz (temp=32C, signal=1 gen=55.3/59.7)
[INFO] gov: ceil 1008000->792000 kHz (temp=32C, signal=0 gen=60.2/59.7)
[INFO] gov: ceil 792000->1008000 kHz (temp=32C, signal=1 gen=55.9/59.7)
[INFO] gov: ceil 1008000->792000 kHz (temp=33C, signal=0 gen=60.0/59.7)
[INFO] gov: ceil 792000->576000 kHz (temp=33C, signal=0 gen=59.6/59.7)
[INFO] gov: ceil 576000->408000 kHz (temp=33C, signal=0 gen=60.6/59.7)
