32,1416000,1368000,36810
37,1416000,1800000,34063
42,1416000,1800000,34733
47,1416000,1800000,34264
52,1416000,1800000,34465
57,1416000,1800000,34599
62,1416000,1800000,34331
67,1416000,1800000,34599
72,1416000,1800000,34666
77,1416000,1800000,36341
82,1800000,1800000,36542
87,1800000,1800000,38485
93,1200000,1152000,38083
98,1008000,1008000,36676
103,1008000,1008000,37212
108,1800000,1800000,41768
113,1800000,1800000,42170
118,1800000,1800000,43376
123,1800000,1800000,42706
128,1800000,1800000,44448
133,1800000,1800000,44448
138,1800000,1800000,43644
143,1800000,1800000,43778
148,1800000,1800000,44314
153,1800000,1800000,43979
158,1800000,1800000,44448
163,1800000,1800000,42371
168,1800000,1800000,39490
173,1800000,1800000,39356
178,1608000,1800000,39222
183,1800000,1800000,38820
188,1800000,1800000,38619
193,1800000,1800000,38753
198,1608000,1800000,38418
203,1800000,1800000,39155
208,1416000,1800000,38619
213,1608000,1800000,37949
218,1800000,1800000,38686
223,1800000,1800000,41634
228,1608000,1800000,41299
233,1608000,1800000,40964
239,1800000,1800000,44582
244,1800000,1800000,43979
249,1800000,1800000,45118
254,1800000,1800000,44247
259,1800000,1800000,42572
264,1800000,1800000,42237
269,1800000,1800000,41902
274,1800000,1800000,42438
279,1800000,1800000,42572
